Name,Recom_CPU_Max_Temp,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth,Min_OS_Coded,Recom_OS_Coded,Min_HDD_Coded,Recom_HDD_Coded,Min_DirectX_coded
Unavowed,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,3.0,3.0,5
Time To Stop Time,34.5,32.0,5.0,3.55,32.0,1024.0,1051.0,11.0,13.5,29.5,67.25,764,1064,20.0,20.0,11
Company of Heroes,32.5,180.0,1.0,2.4,90.0,320.0,550.0,9.5,1.0,2.5,6.8,132,0,6.5,0.0,9
Steep: 90's,52.5,32.0,5.0,3.75,27.0,2048.0,1376.0,11.55,20.5,69.5,112.1,764,764,25.0,25.0,11
Atelier Escha & Logy: Alchemists of the Dusk Sky DX,36.5,38.5,3.0,3.7,32.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,864,1064,17.0,17.0,11
The Day Before,0.0,27.0,5.0,3.35,14.0,2048.0,1576.5,12.05,34.5,68.5,145.7,764,764,75.0,75.0,11
Armored Warfare,71.5,55.0,2.0,2.9000000000000004,33.5,512.0,600.0,10.05,4.5,14.0,19.200000000000003,232,764,10.0,10.0,9
Out of the Park Baseball 19,72.0,130.0,1.0,2.615,45.0,192.0,700.0,9.5,3.5,6.0,33.599999999999994,232,764,7.0,20.0,9
Killing Room,69.5,33.5,2.5,2.9,38.5,1536.0,1075.0,11.15,6.0,14.5,34.4,764,764,5.0,5.0,9
Slay the Spire,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Barn Finders,36.5,27.0,6.0,3.3,18.0,2048.0,1451.0,11.15,29.0,97.0,161.7,764,1064,21.0,21.0,11
Chaos on Deponia,36.0,130.0,1.0,2.7,77.5,512.0,595.0,10.55,3.5,6.5,9.5,132,132,5.0,5.0,9
Rain Island: Orange,0.0,32.0,6.0,3.6,14.0,4096.0,1126.5,12.0,71.0,190.0,368.2,764,1064,1.0,1.0,11
The Quiet Man,65.0,38.5,4.0,2.9000000000000004,32.0,2048.0,1375.0,11.6,24.0,52.5,132.8,764,764,40.0,40.0,11
Grimm Ep 14 - Iron John,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
South Park: The Fractured But Whole - Danger Deck,36.5,32.0,4.0,3.75,27.0,2048.0,1225.0,11.1,22.5,44.5,116.8,764,764,30.0,30.0,11
Orion: Dino Beatdown,35.0,65.0,2.0,2.215,65.0,128.0,250.0,9.55,0.0,0.0,8.0,132,132,8.0,8.0,9
Dangerous,66.5,155.0,1.0,1.85,65.0,192.0,727.5,9.0,0.0,0.0,38.95,132,132,0.0,0.0,9
StarCrossed (2020),36.5,27.0,6.0,3.35,27.0,1024.0,1112.5,11.0,18.0,31.5,87.6,732,1064,1.0,1.0,10
Heat,0.0,18.0,4.0,3.8,13.0,4096.0,1751.5,12.0,43.0,102.5,168.2,764,764,70.0,70.0,11
Hearts of Iron IV: La Resistance,67.5,45.0,4.0,2.93,45.0,1152.0,918.5,11.0,23.5,43.0,130.95,764,232,2.0,2.0,9
Clustertruck,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,732,764,0.0,0.0,9
Skellboy Refractured,0.0,45.0,2.0,3.515,29.5,320.0,550.0,9.5,1.0,2.5,6.8,764,764,1.0,1.0,10
Tides of Existence,52.5,38.5,4.0,3.7,27.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,15.0,15.0,11
Hotel Endless,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Where Angels Cry,0.0,155.0,1.0,2.9,77.5,128.0,600.0,10.0,2.0,3.0,3.2,132,132,1.0,1.0,10
To Be or Not To Be,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
